description,industry,level,size,line_code,value
Business status Alert Level 4: Partly operational,Machinery & equipment wholesaling,2,total,C0301.02,576
Business status Alert Level 4: Partly operational,Other wholesale trade,2,total,C0301.02,1065
Business status Alert Level 4: Partly operational,Retail trade,1,total,C0301.02,1767
Business status Alert Level 4: Partly operational,Accommodation & food services,1,total,C0301.02,660
Business status Alert Level 4: Partly operational,"Transport, postal, & warehousing",1,total,C0301.02,801
Business status Alert Level 4: Partly operational,Information media & telecommunications,1,total,C0301.02,150
Business status Alert Level 4: Partly operational,Publishing,2,total,C0301.02,66
Business status Alert Level 4: Partly operational,Motion picture,2,total,C0301.02,33
Business status Alert Level 4: Partly operational,Telecommunications,2,total,C0301.02,48
Business status Alert Level 4: Partly operational,Financial & insurance services,1,total,C0301.02,225
Business status Alert Level 4: Partly operational,Finance,2,total,C0301.02,84
Business status Alert Level 4: Partly operational,Insurance,2,total,C0301.02,6
Business status Alert Level 4: Partly operational,Auxiliary,2,total,C0301.02,138
Business status Alert Level 4: Partly operational,"Rental, hiring, & real estate services",1,total,C0301.02,546
Business status Alert Level 4: Partly operational,"Professional, scientific, & technical services",1,total,C0301.02,2202
Business status Alert Level 4: Partly operational,Computer systems design,2,total,C0301.02,252
Business status Alert Level 4: Partly operational,Other professional scientific,2,total,C0301.02,1950
Business status Alert Level 4: Partly operational,Administrative & support services,1,total,C0301.02,828
Business status Alert Level 4: Partly operational,Education & training,1,total,C0301.02,267
Business status Alert Level 4: Partly operational,Health care & social assistance,1,total,C0301.02,912
Business status Alert Level 4: Partly operational,Arts & recreation services,1,total,C0301.02,81
Business status Alert Level 4: Partly operational,Other services,1,total,C0301.02,612
Business status Alert Level 4: Partly operational,total,0,total,C0301.02,15813
Business status Alert Level 4: Not operating,total,0,6–19 employees,C0301.03,17076
Business status Alert Level 4: Not operating,total,0,20–49 employees,C0301.03,3573
Business status Alert Level 4: Not operating,total,0,50–99 employees,C0301.03,687
Business status Alert Level 4: Not operating,total,0,100+ employees,C0301.03,345
Business status Alert Level 4: Not operating,"Agriculture, forestry, & fishing",1,total,C0301.03,810
Business status Alert Level 4: Not operating,Agriculture,2,total,C0301.03,210
Business status Alert Level 4: Not operating,Commercial fishing,2,total,C0301.03,18
Business status Alert Level 4: Not operating,Forestry & logging,2,total,C0301.03,240
Business status Alert Level 4: Not operating,"Agriculture, forestry, & fishing support services",2,total,C0301.03,342
Business status Alert Level 4: Not operating,Mining,1,total,C0301.03,54
